transactionId,accountId,customerId,transactionType,amount,timestamp,location
TXN001,ACC001,CUST001,DEPOSIT,50000,2026-09-03T09:00:00,Hyderabad
TXN002,ACC001,CUST001,WITHDRAWAL,5000,2026-09-03T09:15:00,Hyderabad
TXN003,ACC002,CUST002,TRANSFER,2500,2026-09-03T09:20:00,Chennai
TXN004,ACC003,CUST003,WITHDRAWAL,15000,2026-09-03T09:25:00,Bangalore
TXN005,ACC004,CUST004,TRANSFER,75000,2026-09-03T09:30:00,Mumbai
TXN006,ACC001,CUST001,TRANSFER,3000,2026-09-03T09:35:00,Hyderabad
TXN007,ACC002,CUST002,WITHDRAWAL,4500,2026-09-03T09:40:00,Chennai
TXN008,ACC005,CUST005,DEPOSIT,10000,2026-09-03T09:45:00,Delhi
TXN009,ACC003,CUST003,TRANSFER,60000,2026-09-03T09:50:00,Bangalore
TXN010,ACC006,CUST006,WITHDRAWAL,8000,2026-09-03T09:55:00,Pune
TXN011,ACC001,CUST001,TRANSFER,2000,2026-09-03T10:00:00,Hyderabad
TXN012,ACC001,CUST001,TRANSFER,2500,2026-09-03T10:02:00,Hyderabad
TXN013,ACC001,CUST001,TRANSFER,3000,2026-09-03T10:04:00,Hyderabad
TXN014,ACC007,CUST007,WITHDRAWAL,90000,2026-09-03T10:10:00,Delhi
TXN015,ACC008,CUST008,TRANSFER,120000,2026-09-03T10:15:00,Kolkata
TXN016,ACC002,CUST002,TRANSFER,3500,2026-09-03T10:20:00,Chennai
TXN017,ACC009,CUST009,WITHDRAWAL,7000,2026-09-03T10:25:00,Hyderabad
TXN018,ACC010,CUST010,DEPOSIT,25000,2026-09-03T10:30:00,Mumbai
TXN019,ACC003,CUST003,TRANSFER,5500,2026-09-03T10:35:00,Bangalore
TXN020,ACC004,CUST004,WITHDRAWAL,10000,2026-09-03T10:40:00,Mumbai
